"kind","group","element","scenario","period","resolution","file","path"
"elements","bird","bird-wavi","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wavi/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-wcsp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wcsp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-weta","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-weta/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-wewp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wewp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-wiwa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wiwa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-wiwr","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wiwr/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-wtsp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wtsp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-wwcr","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-wwcr/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-ybfl","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-ybfl/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-ybsa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-ybsa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-yewa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-yewa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-yrwa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-yrwa/landr-scfm-v4/2011/250m/mean.tif"
"elements","tree","tree-betu-pap","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-betu-pap/landr-scfm-v4/2011/250m/mean.tif"
"elements","tree","tree-lari-lar","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-lari-lar/landr-scfm-v4/2011/250m/mean.tif"
"elements","tree","tree-pice-gla","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-pice-gla/landr-scfm-v4/2011/250m/mean.tif"
"elements","tree","tree-pice-mar","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-pice-mar/landr-scfm-v4/2011/250m/mean.tif"
