"year","resolution","scenario","element_name","path","mean","max","group","species_code","common_name","scientific_name","pal_max"
2011,"1000m","landrcs-fs-v6a","bird-tewa","bird-tewa/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","TEWA","Tennessee Warbler","Oreothlypis peregrina",NA
2100,"1000m","landrcs-fs-v6a","bird-tewa","bird-tewa/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","TEWA","Tennessee Warbler","Oreothlypis peregrina",NA
2011,"250m","landrcs-fs-v6a","bird-tewa","bird-tewa/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","TEWA","Tennessee Warbler","Oreothlypis peregrina",NA
2100,"250m","landrcs-fs-v6a","bird-tewa","bird-tewa/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","TEWA","Tennessee Warbler","Oreothlypis peregrina",NA
2011,"1000m","landr-scfm-v4","bird-wavi","bird-wavi/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","WAVI","Warbling Vireo","Vireo gilvus",NA
2100,"1000m","landr-scfm-v4","bird-wavi","bird-wavi/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","WAVI","Warbling Vireo","Vireo gilvus",NA
2011,"250m","landr-scfm-v4","bird-wavi","bird-wavi/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","WAVI","Warbling Vireo","Vireo gilvus",NA
2100,"250m","landr-scfm-v4","bird-wavi","bird-wavi/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","WAVI","Warbling Vireo","Vireo gilvus",NA
2011,"1000m","landrcs-fs-v6a","bird-wavi","bird-wavi/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","WAVI","Warbling Vireo","Vireo gilvus",NA
2100,"1000m","landrcs-fs-v6a","bird-wavi","bird-wavi/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","WAVI","Warbling Vireo","Vireo gilvus",NA
2011,"250m","landrcs-fs-v6a","bird-wavi","bird-wavi/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","WAVI","Warbling Vireo","Vireo gilvus",NA
2100,"250m","landrcs-fs-v6a","bird-wavi","bird-wavi/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","WAVI","Warbling Vireo","Vireo gilvus",NA
2011,"1000m","landr-scfm-v4","bird-wcsp","bird-wcsp/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",NA
2100,"1000m","landr-scfm-v4","bird-wcsp","bird-wcsp/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",NA
2011,"250m","landr-scfm-v4","bird-wcsp","bird-wcsp/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",NA
2100,"250m","landr-scfm-v4","bird-wcsp","bird-wcsp/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",NA
2011,"1000m","landrcs-fs-v6a","bird-wcsp","bird-wcsp/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",NA
2100,"1000m","landrcs-fs-v6a","bird-wcsp","bird-wcsp/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",NA
2011,"250m","landrcs-fs-v6a","bird-wcsp","bird-wcsp/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",NA
2100,"250m","landrcs-fs-v6a","bird-wcsp","bird-wcsp/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys",NA
2011,"1000m","landr-scfm-v4","bird-weta","bird-weta/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","WETA","Western Tanager","Piranga ludoviciana",NA
2100,"1000m","landr-scfm-v4","bird-weta","bird-weta/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","WETA","Western Tanager","Piranga ludoviciana",NA
2011,"250m","landr-scfm-v4","bird-weta","bird-weta/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","WETA","Western Tanager","Piranga ludoviciana",NA
2100,"250m","landr-scfm-v4","bird-weta","bird-weta/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","WETA","Western Tanager","Piranga ludoviciana",NA
2011,"1000m","landrcs-fs-v6a","bird-weta","bird-weta/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","WETA","Western Tanager","Piranga ludoviciana",NA
2100,"1000m","landrcs-fs-v6a","bird-weta","bird-weta/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","WETA","Western Tanager","Piranga ludoviciana",NA
2011,"250m","landrcs-fs-v6a","bird-weta","bird-weta/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","WETA","Western Tanager","Piranga ludoviciana",NA
2100,"250m","landrcs-fs-v6a","bird-weta","bird-weta/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","WETA","Western Tanager","Piranga ludoviciana",NA
2011,"1000m","landr-scfm-v4","bird-wewp","bird-wewp/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","WEWP","Western Wood-Pewee","Contopus sordidulus",NA
2100,"1000m","landr-scfm-v4","bird-wewp","bird-wewp/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","WEWP","Western Wood-Pewee","Contopus sordidulus",NA
2011,"250m","landr-scfm-v4","bird-wewp","bird-wewp/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","WEWP","Western Wood-Pewee","Contopus sordidulus",NA
2100,"250m","landr-scfm-v4","bird-wewp","bird-wewp/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","WEWP","Western Wood-Pewee","Contopus sordidulus",NA
2011,"1000m","landrcs-fs-v6a","bird-wewp","bird-wewp/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","WEWP","Western Wood-Pewee","Contopus sordidulus",NA
2100,"1000m","landrcs-fs-v6a","bird-wewp","bird-wewp/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","WEWP","Western Wood-Pewee","Contopus sordidulus",NA
2011,"250m","landrcs-fs-v6a","bird-wewp","bird-wewp/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","WEWP","Western Wood-Pewee","Contopus sordidulus",NA
2100,"250m","landrcs-fs-v6a","bird-wewp","bird-wewp/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","WEWP","Western Wood-Pewee","Contopus sordidulus",NA
2011,"1000m","landr-scfm-v4","bird-wiwa","bird-wiwa/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","WIWA","Wilson's Warbler","Cardellina pusilla",NA
2100,"1000m","landr-scfm-v4","bird-wiwa","bird-wiwa/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","WIWA","Wilson's Warbler","Cardellina pusilla",NA
2011,"250m","landr-scfm-v4","bird-wiwa","bird-wiwa/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","WIWA","Wilson's Warbler","Cardellina pusilla",NA
2100,"250m","landr-scfm-v4","bird-wiwa","bird-wiwa/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","WIWA","Wilson's Warbler","Cardellina pusilla",NA
2011,"1000m","landrcs-fs-v6a","bird-wiwa","bird-wiwa/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","WIWA","Wilson's Warbler","Cardellina pusilla",NA
