group,species_code,common_name,scientific_name,french,full_extent,year_start,year_end,year_interval
bird,bird-ybsa,Yellow-bellied Sapsucker,Sphyrapicus varius,Pic macul&eacute;,TRUE,2011,2091,20
bird,bird-yewa,Yellow Warbler,Setophaga petechia,Paruline jaune,TRUE,2011,2091,20
bird,bird-yhbl,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Carouge &agrave; t&ecirc;te jaune,TRUE,2011,2091,20
bird,bird-yrwa,Yellow-rumped Warbler,Setophaga coronata,Paruline &agrave; croupion jaune,TRUE,2011,2091,20
tree,tree-abie-bal,Balsam Fir,Abies balsamea,,TRUE,2011,2100,10
tree,tree-abie-las,Subalpine Fir,Abies lasiocarpa,,TRUE,2011,2100,10
tree,tree-betu-pap,Paper Birch,Betula pendula,,TRUE,2011,2100,10
tree,tree-lari-lar,Tamarack,Larix laricina,,TRUE,2011,2100,10
tree,tree-mixed,Mixed,,,TRUE,2011,2100,10
tree,tree-picea-gla,White Spruce,Picea glauca,,TRUE,2011,2100,10
tree,tree-picea-mar,Black Spruce,Picea mariana,,TRUE,2011,2100,10
tree,tree-pinu-ban,Jack Pine,Pinus banksiana,,TRUE,2011,2100,10
tree,tree-pinu-con,Lodgepole Pine,Pinus contorta,,TRUE,2011,2100,10
tree,tree-popu-tre,Trembling Aspen,Populus tremuloides,,TRUE,2011,2100,10
prod,burn,Cumulative burn,,,FALSE,2021,2100,10
prod,biomass,Biomass,,Biomasse,TRUE,2011,2100,10
